filters,"contextMap.casinoName: Descending",Total,avg,max,Median
Casino,"PP_Alpha_Marsbahis",2165,"66.31131639722864",373,37
Casino,"PP_Adjarabet_COM",6,"157.5",478,56
Casino,"PP_Adjarabet_AM",77,"147.45454545454547",528,29
Casino,"PP_APLUS_aplus_standard",2,353,370,353
Casino,"PP_AGST",9,"456.77777777777777",968,373
Casino,"PP_ACE2",71,656,2419,635
Casino,"PP_888_Casino_888_Casino_UK",112,"285.01785714285717",1093,"157.5"
Casino,"PP_888_Casino_888_Casino_-_RO",572,"96.57517482517483",1318,38
Casino,"PP_888_Casino_888_Casino_-_COM",1279,"109.00547302580141",3173,41
Casino,"PP_7live_9CLUB",447,"535.8993288590603",4788,295
Casino,"PP_7live",1,379,379,379
Casino,"PP_396club_mahabet",184,"649.9021739130435",5092,310
Casino,"PP_396club_UG396",3559,"365.52542849114917",4041,306
Casino,"PP_396club_Interwin",654,"344.27522935779814",977,295
Casino,"PP_21.com",221,"68.4524886877828",315,41
Casino,"PP_1xBet_oppabet",32,"78.71875",272,"45.5"
Casino,"PP_1xBet_melbet",1713,"52.58960887332166",977,30
Casino,"PP_1xBet_megapari",39,"61.743589743589745",294,38
Casino,"PP_1xBet_jvspin.com",4,"125.75",249,"93.5"
Casino,"PP_1xBet_fan-sport.com",31,"84.25806451612904",137,94
Casino,"PP_1xBet_betwinner",913,"62.91347207009858",247,"48.57142857142857"
Casino,"PP_1xBet_22bet",787,"56.65946632782719",575,"37.125"
Casino,"PP_1xBet_1xslot",422,"59.95497630331754",712,38
Casino,"PP_1xBet",62782,"56.06379216973018",1284,36
Casino,"PP_1win_1win",3810,"50.21181102362205",653,"42.300000000000004"
Casino,"PP_1upentertainment_casinofriday",38,"71.71052631578948",340,"40.5"
Casino,"PP Pixelo Overplus",1,45,45,45
